id_autor,nombre
1,Hajime Isayama
2,Hirohiko Araki
3,Eiichiro Oda
4,Tadatoshi Fujimaki
5,Wataru Watanabe
6,Yoshihiro Togashi
7,Yasuhisa Hara
8,Shinobu Ohtaka
9,Takehiko Inoue
10,Chuuya Koyama
11,Yuki Suetsugu
12,Kenichi Tachibana
13,Haruichi Furudate
14,Sui Ishida
15,Io Sakisaka
16,Yuji Terajima
17,Taku Tsumugi
18,Mari Fujimura
19,You Suzunoki
20,Natsumi Eguchi
21,Yusuke Murata
22,Yasuhiro Nightow
23,Akira Hiramoto
24,Aruko
25,Miki Aihara
26,Masashi Kishimoto
27,Nakaba Suzuki
28,Sadoru Chiba
29,Naoshi Arakawa
30,Kohei Horikoshi
31,Daisuke Watanabe
32,Atsushi Kamijo
33,Kei Sanbe
34,Tsuyoshi Yasuda
35,Shigeru Mizuki
36,Tsunami Umino
37,ONE
38,Kenjirou Hata
39,Chica Umino
40,Hiromu Arakawa
41,Kaya Tsukiyama
42,Ai Kozaki
43,Tomo Takeuchi
44,Satoru Noda
45,Akimi Yoshida
46,Posuka Demizu
47,Daisuke Ashihara
48,Hiroyuki Nishimori
49,Akane Shimizu
50,Taiki Kawakami
51,Koyoharu Gotouge
52,Negi Haruba
53,Aka Akasaka
54,Boichi
55,Atsushi Ohkubo
56,Gege Akutami
57,Toshiya Higashimoto
58,Reiji Miyajima
59,Ken Wakui
60,Yumi Tamura
61,Katsuhisa Minami
62,Tatsuki Fujimoto
63,Tatsuya Endo
64,Yugo Kobayashi
65,Shinichi Fukuda
66,Muneyuki Kaneshiro
67,Tsukasa Abe
68,Mashiro
69,Harukawa 35
70,Aki Hamaji
71,Osamu Nishi
72,Kanehito Yamada
73,Natsu Hyuuga (Hero Bunko)
74,Natsu Hyuuga
75,Waki Yamato
76,Hajime Komoto
77,Naoya Matsumoto
78,Kouji Miura
79,Satoru Nii
80,Shin Teh-hoon
81,Hiroya Oku
82,Tatsuo Nitta
83,Akira Toriyama
84,Keisuke Itagaki
85,Hikaru Katsuki
86,Shohei Manabe
87,Yu Sasuga
88,Noboru Takahashi
89,Tite Kubo
90,Kazuhiro Fujita
91,Mikio Igarashi
92,Shuho Sato
93,Tsujitomo
94,Kentaro Miura
95,Hiro Mashima
96,Gosho Aoyama
97,Hideaki Sorachi
98,Kaiu Shirai
99,Kei Sasuga
100,Ajichika
101,Uoto
102,George Morikawa
103,Aka Akasaka Ã— Mengo Yokoyari
104,Natsu Hyuuga (Hero Bunko/Imagica Infos)
105,Yuji Kaku
106,Yukinobu Tatsu
107,DUBU (REDICE STUDIO)
