id_manga,id_autor,id_editorial,id_categoria,id_tipo,id_formato,Ranking
1,1,1,1,1,1,1
182,1,1,1,1,1,1
2,2,2,1,1,1,2
3,3,2,1,1,1,3
183,3,2,1,1,1,3
4,4,2,1,1,1,4
188,4,2,1,1,1,4
5,5,3,1,1,1,5
191,5,3,1,1,1,5
6,6,2,1,1,1,6
184,6,2,1,1,1,6
7,7,2,2,1,2,7
181,7,2,2,1,2,7
8,2,2,1,1,1,8
9,8,4,1,1,1,9
10,9,2,1,1,1,10
11,10,1,2,1,2,11
189,10,1,2,1,2,11
12,2,2,1,1,1,12
13,2,2,1,1,1,13
14,11,1,3,1,1,14
15,12,2,2,1,2,16
16,5,3,1,1,1,1
17,5,3,1,1,1,1
196,5,3,1,1,1,1
16,5,3,1,1,1,2
17,5,3,1,1,1,2
196,5,3,1,1,1,2
18,1,1,1,1,1,3
198,1,1,1,1,1,3
19,13,2,1,1,1,4
20,14,2,2,1,2,5
199,14,2,2,1,2,5
21,15,2,4,1,1,6
22,16,1,1,1,1,7
208,16,1,1,1,1,7
23,4,2,1,1,1,8
204,4,2,1,1,1,8
24,17,2,5,1,3,9
25,9,2,1,1,1,10
26,3,2,1,1,1,11
203,3,2,1,1,1,11
27,18,2,4,1,1,12
28,7,2,2,1,2,13
197,7,2,2,1,2,13
29,19,1,2,1,2,14
30,20,1,2,1,2,15
31,7,2,2,1,2,1
211,7,2,2,1,2,1
32,21,2,1,1,1,2
33,19,1,2,1,2,3
34,22,2,1,1,1,4
35,23,1,2,1,2,5
215,23,1,2,1,2,5
36,14,2,2,1,2,6
37,5,3,1,1,1,7
218,5,3,1,1,1,7
38,1,1,1,1,1,8
214,1,1,1,1,1,8
39,13,2,1,1,1,9
40,24,2,4,1,1,10
41,25,4,3,1,1,11
42,26,2,1,1,1,12
212,26,2,1,1,1,12
43,27,1,1,1,1,13
221,27,1,1,1,1,13
44,28,5,2,1,2,14
45,29,1,1,1,1,15
46,7,2,2,1,2,1
226,7,2,2,1,2,1
47,30,2,1,1,1,3
48,31,6,2,1,2,4
49,13,2,1,1,1,5
50,32,7,6,1,4,6
51,21,2,1,1,1,7
52,33,8,1,1,2,8
53,29,1,1,1,1,9
54,34,1,1,1,1,10
232,34,1,1,1,1,10
55,35,1,1,1,5,11
56,14,2,2,1,2,12
57,36,1,4,1,1,13
58,37,4,1,1,2,14
59,9,2,1,1,1,15
60,11,1,3,1,1,16
228,11,1,3,1,1,16
61,7,2,2,1,2,1
241,7,2,2,1,2,1
62,30,2,1,1,1,3
246,30,2,1,1,1,3
63,38,4,1,1,5,4
64,1,1,1,1,1,5
242,1,1,1,1,1,5
65,14,2,2,1,2,6
66,39,9,2,1,2,7
67,40,10,1,1,1,8
249,40,10,1,1,1,8
68,13,2,1,1,1,9
255,13,2,1,1,1,9
69,14,2,2,1,2,10
247,14,2,2,1,2,10
70,9,2,1,1,1,11
71,41,1,1,1,5,12
72,42,4,2,1,2,13
73,6,2,1,1,1,14
250,6,2,1,1,1,14
74,43,1,1,1,1,15
75,3,2,1,1,1,16
243,3,2,1,1,1,16
76,30,2,1,1,1,1
261,30,2,1,1,1,1
77,7,2,2,1,2,2
256,7,2,2,1,2,2
78,6,2,1,1,1,4
258,6,2,1,1,1,4
79,44,2,2,1,2,5
264,44,2,2,1,2,5
80,45,4,3,1,1,6
81,46,2,1,1,1,7
82,13,2,1,1,1,8
268,13,2,1,1,1,8
83,47,2,1,1,1,9
84,27,1,1,1,1,10
260,27,1,1,1,1,10
85,3,2,1,1,1,11
257,3,2,1,1,1,11
86,48,4,7,1,6,13
262,48,4,7,1,6,13
87,49,1,1,1,2,14
88,14,2,2,1,2,15
270,14,2,2,1,2,15
89,9,2,1,1,1,16
90,50,1,1,1,2,17
263,50,1,1,1,2,17
91,51,2,1,1,1,1
272,51,2,1,1,1,1
92,7,2,2,1,2,2
271,7,2,2,1,2,2
93,52,1,1,1,1,3
279,52,1,1,1,1,3
94,46,2,1,1,1,4
277,46,2,1,1,1,4
95,30,2,1,1,1,5
282,30,2,1,1,1,5
96,53,2,2,1,2,6
97,51,2,1,1,1,7
98,21,2,1,1,1,9
280,21,2,1,1,1,9
99,1,1,1,1,1,10
273,1,1,1,1,1,10
100,54,2,1,1,1,11
101,3,2,1,1,1,12
274,3,2,1,1,1,12
102,51,2,6,1,1,13
103,13,2,1,1,1,14
283,13,2,1,1,1,14
104,55,1,1,1,1,15
276,55,1,1,1,1,15
105,44,2,2,1,2,16
106,51,2,1,1,1,1
286,51,2,1,1,1,1
107,7,2,2,1,2,2
287,7,2,2,1,2,2
108,56,2,1,1,1,3
293,56,2,1,1,1,3
109,30,2,1,1,1,4
292,30,2,1,1,1,4
110,13,2,1,1,1,5
289,13,2,1,1,1,5
111,55,1,1,1,1,6
294,55,1,1,1,1,6
112,46,2,1,1,1,7
291,46,2,1,1,1,7
113,52,1,1,1,1,8
114,54,2,1,1,1,9
115,9,2,1,1,1,10
116,57,1,2,1,2,11
117,51,2,6,1,1,12
118,9,2,1,1,1,13
119,1,1,1,1,1,14
290,1,1,1,1,1,14
120,58,1,1,1,1,15
121,59,1,1,1,1,1
302,59,1,1,1,1,1
122,51,2,1,1,1,2
303,51,2,1,1,1,2
123,56,2,1,1,1,3
301,56,2,1,1,1,3
124,1,1,1,1,1,4
125,30,2,1,1,1,5
313,30,2,1,1,1,5
126,9,2,1,1,1,6
127,49,1,1,1,2,7
128,60,4,4,1,5,8
305,60,4,4,1,5,8
129,47,2,1,1,1,9
130,61,1,2,1,2,10
131,50,1,1,1,2,11
132,13,2,1,1,1,12
133,54,2,1,1,1,13
134,62,2,1,1,1,14
306,62,2,1,1,1,14
135,9,2,1,1,1,15
136,63,2,1,1,1,1
321,63,2,1,1,1,1
137,56,2,1,1,1,2
319,56,2,1,1,1,2
138,59,1,1,1,1,3
317,59,1,1,1,1,3
139,9,2,1,1,1,4
140,44,2,2,1,2,5
323,44,2,2,1,2,5
141,60,4,4,1,5,6
142,51,2,1,1,1,7
143,64,4,2,1,2,8
144,65,10,2,1,2,9
145,13,2,1,1,1,10
327,13,2,1,1,1,10
146,30,2,1,1,1,11
322,30,2,1,1,1,11
147,61,1,2,1,2,12
148,1,1,1,1,1,13
149,3,2,1,1,1,14
316,3,2,1,1,1,14
150,62,2,1,1,1,15
325,62,2,1,1,1,15
151,9,2,1,1,1,1
152,66,1,1,1,1,2
333,66,1,1,1,1,2
153,9,11,8,1,7,3
154,53,2,2,1,2,4
335,53,2,2,1,2,4
155,56,2,1,1,1,5
332,56,2,1,1,1,5
156,59,1,1,1,1,6
337,59,1,1,1,1,6
157,9,2,1,1,1,7
158,67,4,1,1,1,8
159,68,12,2,1,2,9
160,69,8,2,1,2,10
161,9,2,9,1,5,11
162,1,1,1,1,1,12
163,60,4,4,1,1,13
164,70,5,2,1,8,14
165,71,3,1,1,1,15
166,72,4,1,1,1,1
354,72,4,1,1,1,1
167,13,2,1,1,1,2
349,13,2,1,1,1,2
168,73,10,3,1,5,3
170,73,10,3,1,5,3
169,9,2,1,1,1,4
168,74,13,10,1,3,5
170,74,13,10,1,3,5
171,75,1,11,1,3,6
172,76,2,1,1,1,7
356,76,2,1,1,1,7
173,49,1,1,1,2,8
174,56,2,1,1,1,9
347,56,2,1,1,1,9
175,77,2,1,1,1,10
353,77,2,1,1,1,10
176,30,2,1,1,1,11
348,30,2,1,1,1,11
177,78,2,1,1,1,12
178,79,1,1,1,1,13
179,80,14,12,1,9,14
180,13,2,6,1,9,15
7,7,2,2,2,5,1
181,7,2,2,2,5,1
1,1,1,1,2,5,2
182,1,1,1,2,5,2
3,3,2,1,2,5,3
183,3,2,1,2,5,3
6,6,2,1,2,5,4
184,6,2,1,2,5,4
185,3,2,1,2,5,5
186,81,2,2,2,5,6
187,2,2,1,2,5,7
4,4,2,1,2,5,8
188,4,2,1,2,5,8
11,10,1,2,2,5,9
189,10,1,2,2,5,9
190,82,15,2,2,5,10
5,5,3,1,2,5,11
191,5,3,1,2,5,11
192,16,1,1,2,5,12
193,83,2,1,2,5,13
194,26,2,1,2,5,14
195,84,3,1,2,5,15
16,5,3,1,2,5,1
17,5,3,1,2,5,1
196,5,3,1,2,5,1
28,7,2,2,2,5,2
197,7,2,2,2,5,2
18,1,1,1,2,5,3
198,1,1,1,2,5,3
20,14,2,2,2,5,4
199,14,2,2,2,5,4
200,26,2,1,2,5,5
201,85,1,1,2,5,6
202,86,4,2,2,5,7
26,3,2,1,2,5,8
203,3,2,1,2,5,8
23,4,2,1,2,5,9
204,4,2,1,2,5,9
205,87,2,2,2,5,10
206,6,2,1,2,5,11
207,88,4,2,2,5,12
22,16,1,1,2,5,13
208,16,1,1,2,5,13
209,84,3,1,2,5,14
210,3,2,1,2,5,15
31,7,2,2,2,5,1
211,7,2,2,2,5,1
42,26,2,1,2,5,2
212,26,2,1,2,5,2
213,3,2,1,2,5,3
38,1,1,1,2,5,4
214,1,1,1,2,5,4
35,23,1,2,2,5,5
215,23,1,2,2,5,5
216,59,1,2,2,5,6
217,26,2,1,2,5,7
37,5,3,1,2,5,8
218,5,3,1,2,5,8
219,16,1,1,2,5,9
220,85,1,1,2,5,10
43,27,1,1,2,5,11
221,27,1,1,2,5,11
222,89,2,1,2,5,12
223,90,4,1,2,5,13
224,3,2,1,2,5,14
225,87,2,2,2,5,15
46,7,2,2,2,5,1
226,7,2,2,2,5,1
227,91,16,2,2,5,2
60,11,1,3,2,5,3
228,11,1,3,2,5,3
229,89,2,1,2,5,4
230,3,2,1,2,5,5
231,87,2,2,2,5,6
54,34,1,1,2,5,7
232,34,1,1,2,5,7
233,1,1,1,2,5,8
234,92,17,2,2,5,9
235,86,4,2,2,5,10
236,93,1,2,2,5,11
237,23,1,2,2,5,12
238,27,1,1,2,5,13
239,94,9,2,2,5,14
240,6,2,1,2,5,15
61,7,2,2,2,5,1
241,7,2,2,2,5,1
64,1,1,1,2,5,2
242,1,1,1,2,5,2
75,3,2,1,2,5,3
243,3,2,1,2,5,3
244,95,1,1,2,5,4
245,27,1,1,2,5,5
62,30,2,1,2,5,6
246,30,2,1,2,5,6
69,14,2,2,2,5,7
247,14,2,2,2,5,7
248,26,2,1,2,5,8
67,40,10,1,2,5,9
249,40,10,1,2,5,9
73,6,2,1,2,5,10
250,6,2,1,2,5,10
251,5,3,1,2,5,11
252,96,4,1,2,5,12
253,85,1,1,2,5,13
254,86,4,2,2,5,14
68,13,2,1,2,5,15
255,13,2,1,2,5,15
77,7,2,2,2,5,1
256,7,2,2,2,5,1
85,3,2,1,2,5,2
257,3,2,1,2,5,2
78,6,2,1,2,5,3
258,6,2,1,2,5,3
259,1,1,1,2,5,4
84,27,1,1,2,5,5
260,27,1,1,2,5,5
76,30,2,1,2,5,6
261,30,2,1,2,5,6
86,48,4,1,2,5,7
262,48,4,1,2,5,7
90,50,1,1,2,5,8
263,50,1,1,2,5,8
79,44,2,2,2,5,9
264,44,2,2,2,5,9
265,97,2,1,2,5,10
266,89,2,1,2,5,11
267,11,1,3,2,5,12
82,13,2,1,2,5,13
268,13,2,1,2,5,13
269,93,1,2,2,5,14
88,14,2,2,2,5,15
270,14,2,2,2,5,15
92,7,2,2,2,5,1
271,7,2,2,2,5,1
91,51,2,1,2,5,2
272,51,2,1,2,5,2
99,1,1,1,2,5,3
273,1,1,1,2,5,3
101,3,2,1,2,5,4
274,3,2,1,2,5,4
275,61,1,2,2,5,5
104,55,1,1,2,5,6
276,55,1,1,2,5,6
94,98,2,1,2,5,7
277,98,2,1,2,5,7
278,99,1,1,2,5,8
93,52,1,1,2,5,9
279,52,1,1,2,5,9
98,37,2,1,2,5,10
280,37,2,1,2,5,10
281,27,1,1,2,5,11
95,30,2,1,2,5,12
282,30,2,1,2,5,12
103,13,2,1,2,5,13
283,13,2,1,2,5,13
284,10,1,2,2,5,14
285,50,1,1,2,5,15
106,51,2,1,2,5,1
286,51,2,1,2,5,1
107,7,2,2,2,5,2
287,7,2,2,2,5,2
288,3,2,1,2,5,3
110,13,2,1,2,5,4
289,13,2,1,2,5,4
119,1,1,1,2,5,5
290,1,1,1,2,5,5
112,98,2,1,2,5,6
291,98,2,1,2,5,6
109,30,2,1,2,5,7
292,30,2,1,2,5,7
108,56,2,1,2,5,8
293,56,2,1,2,5,8
111,55,1,1,2,5,9
294,55,1,1,2,5,9
295,89,2,1,2,5,10
296,61,1,2,2,5,11
297,27,1,1,2,5,12
298,5,3,1,2,5,13
299,34,1,1,2,5,14
300,64,4,2,2,5,15
123,56,2,1,2,5,1
301,56,2,1,2,5,1
121,59,1,1,2,5,2
302,59,1,1,2,5,2
122,51,2,1,2,5,3
303,51,2,1,2,5,3
304,72,4,1,2,5,4
128,60,4,4,2,5,5
305,60,4,4,2,5,5
134,62,2,1,2,5,6
306,62,2,1,2,5,6
307,77,2,1,2,5,7
308,100,18,2,2,5,8
309,1,1,1,2,5,9
310,63,2,1,2,5,10
311,51,2,1,2,5,11
312,98,2,1,2,5,12
125,30,2,1,2,5,13
313,30,2,1,2,5,13
314,101,4,2,2,5,14
315,50,1,1,2,5,15
149,3,2,1,2,5,1
316,3,2,1,2,5,1
138,59,1,1,2,5,2
317,59,1,1,2,5,2
318,7,2,2,2,5,3
137,56,2,1,2,5,4
319,56,2,1,2,5,4
320,64,4,2,2,5,5
136,63,2,1,2,5,6
321,63,2,1,2,5,6
146,30,2,1,2,5,7
322,30,2,1,2,5,7
140,44,2,2,2,5,8
323,44,2,2,2,5,8
324,66,1,1,2,5,9
150,62,2,1,2,5,10
325,62,2,1,2,5,10
326,3,2,1,2,5,11
145,13,2,1,2,5,12
327,13,2,1,2,5,12
328,6,2,1,2,5,13
329,37,2,1,2,5,14
330,102,1,1,2,5,15
331,7,2,2,2,5,1
155,56,2,1,2,5,2
332,56,2,1,2,5,2
152,66,1,1,2,5,3
333,66,1,1,2,5,3
334,3,2,1,2,5,4
154,103,2,2,2,5,5
335,103,2,2,2,5,5
336,30,2,1,2,5,6
156,59,1,1,2,5,7
337,59,1,1,2,5,7
338,72,4,1,2,5,8
339,62,2,1,2,5,9
340,102,1,1,2,5,10
341,61,1,2,2,5,11
342,104,10,3,2,5,12
343,64,4,2,2,5,13
344,50,1,1,2,5,14
345,105,2,1,2,5,15
346,7,2,2,2,5,1
174,56,2,1,2,5,2
347,56,2,1,2,5,2
176,30,2,1,2,5,3
348,30,2,1,2,5,3
167,13,2,1,2,5,4
349,13,2,1,2,5,4
350,66,1,1,2,5,5
351,3,2,1,2,5,6
352,50,1,1,2,5,7
175,77,2,1,2,5,8
353,77,2,1,2,5,8
166,72,4,1,2,5,9
354,72,4,1,2,5,9
355,106,2,1,2,5,10
172,76,2,1,2,5,11
356,76,2,1,2,5,11
357,64,4,2,2,5,12
358,107,19,1,2,5,13
359,44,2,2,2,5,14
360,102,1,1,2,5,15
